the_geom,cartodb_id,timestamp,long,lat,external_t,outlier_ma,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time
0101000020E6100000280ABF970CAC53C0844E899DC9E14140,1,2010-07-01 15:44:00+00,-78.688268601,35.763965313,23.611113,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000007163ABB20CAC53C0C70E67D4B5E14140,2,2010-07-15 21:08:00+00,-78.68827502,35.763361502,31.944447,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000D7D084280AAC53C050CBF306B6E14140,3,2010-07-20 15:19:00+00,-78.688120012,35.763367528,29.77778016,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000004E78C280DAC53C05689D00DAFE14140,4,2010-08-06 15:35:00+00,-78.688303125,35.763154723,26.83333548,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000008A4F0E5A00AC53C0EEE2B4E246E14140,5,2010-09-15 18:30:00+00,-78.687521471,35.759975756,31.16666916,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000EBB2F84A09AC53C00C4AB2BDBFE14140,6,2010-10-21 18:50:00+00,-78.688067191,35.763663971,23.00000184,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000073D373C608AC53C051F7E5F2BDE14140,7,2010-10-23 17:15:00+00,-78.688035596,35.763609278,22.5000018,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000001BBDD3CA08AC53C0CF3E9BC4BCE14140,8,2010-10-23 19:19:00+00,-78.688036639,35.763573242,22.5000018,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000A4FE7A8505AC53C059350873BBE14140,9,2011-01-21 20:33:00+00,-78.687837,35.763533,0,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000009A40118B18AC53C0D49D279EB3E14140,10,2011-04-26 21:17:00+00,-78.688998,35.763294,28.11111336,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C51EDAC70AAC53C0E36C3A02B8E14140,11,2011-08-31 16:15:00+00,-78.688158,35.763428,23.8888908,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C9224DBC03AC53C07FBE2D58AAE14140,12,2011-09-12 19:58:00+00,-78.687728,35.763011,29.166669,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
